Upregulated
Ensembl_t_id	Ensembl_p_id	Gene_symbol	Symbol	Description	Fold	PPEE	case control expected_counts	
ENSRNOT00000076916	ENSRNOP00000068213	NCF1	Ncf1	neutrophil cytosolic factor 1 [Source:RGD Symbol;Acc:61307]	4.765563771	0	1163	262
ENSRNOT00000039876	ENSRNOP00000043001	MX1	Mx1	myxovirus (influenza virus) resistance 1 [Source:RGD Symbol;Acc:3127]	10.34099186	0	579.45	60.15
ENSRNOT00000068134	ENSRNOP00000063496	ANXA3	Anxa3	annexin A3 [Source:RGD Symbol;Acc:2119]	4.373932131	0	4787	1175
ENSRNOT00000003012	ENSRNOP00000003012	PLAC8	Plac8	placenta-specific 8 [Source:RGD Symbol;Acc:1308102]	33.20806045	0	588	19
ENSRNOT00000055872	ENSRNOP00000052724	IFI47	Ifi47	interferon gamma inducible protein 47 [Source:RGD Symbol;Acc:708470]	7.327653697	0	471	69
ENSRNOT00000085479	ENSRNOP00000069553	CIITA	Ciita	class II, major histocompatibility complex, transactivator [Source:RGD Symbol;Acc:619813]	10.28843236	0	163	17
ENSRNOT00000086710	ENSRNOP00000072545	NLRP3	Nlrp3	NLR family, pyrin domain containing 3 [Source:RGD Symbol;Acc:1308314]	3.783949041	0	356	101
ENSRNOT00000004320	ENSRNOP00000004320	LGALS3BP	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein [Source:RGD Symbol;Acc:620837]	5.376757333	0	2454	490
ENSRNOT00000038994	ENSRNOP00000031063	CYBB	Cybb	cytochrome b-245, beta polypeptide [Source:RGD Symbol;Acc:620574]	11.5848929	0	572	53
ENSRNOT00000005620	ENSRNOP00000005620	TLR7	Tlr7	toll-like receptor 7 [Source:RGD Symbol;Acc:1563357]	3.321377727	0	594	192
ENSRNOT00000007044	ENSRNOP00000007044	PLEK	Plek	pleckstrin [Source:RGD Symbol;Acc:1308269]	3.578426643	0	540.58	162.18
ENSRNOT00000046135	ENSRNOP00000050879	LCP2	Lcp2	lymphocyte cytosolic protein 2 [Source:RGD Symbol;Acc:619743]	3.636664737	0	647	191
ENSRNOT00000009139	ENSRNOP00000009139	ST14	St14	suppression of tumorigenicity 14 (colon carcinoma) [Source:RGD Symbol;Acc:69288]	6.514760158	0	352	58
ENSRNOT00000008813	ENSRNOP00000008813	HK2	Hk2	hexokinase 2 [Source:RGD Symbol;Acc:2797]	3.402384775	0	843	266
ENSRNOT00000081036	ENSRNOP00000071089	ZBP1	Zbp1	Z-DNA binding protein 1 [Source:RGD Symbol;Acc:619956]	12.15481848	0	102	9
ENSRNOT00000009183	ENSRNOP00000009183	PYGL	Pygl	phosphorylase, glycogen, liver [Source:RGD Symbol;Acc:620687]	3.611011681	0	370	110
ENSRNOT00000059810	ENSRNOP00000056557	DOCK2	Dock2	dedicator of cytokinesis 2 [Source:RGD Symbol;Acc:1564189]	4.379120478	0	257	63
ENSRNOT00000009994	ENSRNOP00000009994	RAC2	Rac2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2) [Source:RGD Symbol;Acc:1307568]	5.302077591	0	405	82
ENSRNOT00000010218	ENSRNOP00000010218	PTGS1	Ptgs1	prostaglandin-endoperoxide synthase 1 [Source:RGD Symbol;Acc:3439]	2.876022784	0	584	218
ENSRNOT00000056221	ENSRNOP00000053065	CYTH4	Cyth4	cytohesin 4 [Source:RGD Symbol;Acc:1564842]	3.4338057	0	822	257
ENSRNOT00000084004	ENSRNOP00000070644	MEFV	Mefv	Mediterranean fever [Source:RGD Symbol;Acc:61889]	20.37005355	0	133	7
ENSRNOT00000011130	ENSRNOP00000011130	LYN	Lyn	LYN proto-oncogene, Src family tyrosine kinase [Source:RGD Symbol;Acc:621017]	3.0012596	0	875	313
ENSRNOT00000011513	ENSRNOP00000011513	MYO1F	Myo1f	myosin IF [Source:RGD Symbol;Acc:1309750]	3.85967405	0	453	126
ENSRNOT00000011327	ENSRNOP00000011327	TMEM176B	Tmem176b	transmembrane protein 176B [Source:RGD Symbol;Acc:708403]	3.235537327	0	3300	1095
ENSRNOT00000011694	ENSRNOP00000011694	CSF3R	Csf3r	colony stimulating factor 3 receptor (granulocyte) [Source:RGD Symbol;Acc:1309114]	4.161973934	0	535	138
ENSRNOT00000012487	ENSRNOP00000012487	PIK3CG	Pik3cg	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma [Source:RGD Symbol;Acc:1306468]	2.759331082	0	879	342
ENSRNOT00000012632	ENSRNOP00000012632	EPSTI1	Epsti1	epithelial stromal interaction 1 (breast) [Source:RGD Symbol;Acc:1563207]	6.004098365	0	330	59
ENSRNOT00000013768	ENSRNOP00000013768	CD180	Cd180	CD180 molecule [Source:RGD Symbol;Acc:1308170]	3.02739899	0	595	211
ENSRNOT00000082191	ENSRNOP00000071263	LCP1	Lcp1	lymphocyte cytosolic protein 1 [Source:RGD Symbol;Acc:1308288]	2.531650487	0	1620	687
ENSRNOT00000061032	ENSRNOP00000057748	MAST4	Mast4	microtubule associated serine/threonine kinase family member 4 [Source:RGD Symbol;Acc:1310139]	16233.40384	0	156.66	0
ENSRNOT00000083028	ENSRNOP00000071739	LAPTM5	Laptm5	lysosomal protein transmembrane 5 [Source:RGD Symbol;Acc:621838]	2.637044459	0	2105	857
ENSRNOT00000015818	ENSRNOP00000015818	GH1	Gh1	growth hormone 1 [Source:RGD Symbol;Acc:2686]	199.7367932	0	374	2
ENSRNOT00000016032	ENSRNOP00000016032	FES	Fes	FES proto-oncogene, tyrosine kinase [Source:RGD Symbol;Acc:1564385]	4.348471175	0	239	59
ENSRNOT00000016076	ENSRNOP00000016076	NPC2	Npc2	Niemann-Pick disease, type C2 [Source:RGD Symbol;Acc:628756]	2.966016746	0	4586	1660
ENSRNOT00000016152	ENSRNOP00000016152	FAM111A	Fam111a	family with sequence similarity 111, member A [Source:RGD Symbol;Acc:1560913]	7.679427037	0	465	65
ENSRNOT00000016306	ENSRNOP00000016306	SPI1	Spi1	Spi-1 proto-oncogene [Source:RGD Symbol;Acc:1359607]	3.476968615	0	502	155
ENSRNOT00000016976	ENSRNOP00000016976	POMC	Pomc	proopiomelanocortin [Source:RGD Symbol;Acc:3366]	20.38617109	0	304	16
ENSRNOT00000017060	ENSRNOP00000017060	C1QB	C1qb	complement component 1, q subcomponent, B chain [Source:RGD Symbol;Acc:2229]	6.720674075	0	6166	985
ENSRNOT00000017065	ENSRNOP00000017065	C1QC	C1qc	complement component 1, q subcomponent, C chain [Source:RGD Symbol;Acc:1306828]	8.244117769	0	4377	570
ENSRNOT00000017385	ENSRNOP00000017385	C1QA	C1qa	complement component 1, q subcomponent, A chain [Source:RGD Symbol;Acc:1306716]	7.264495399	0	8343	1233
ENSRNOT00000017564	ENSRNOP00000017564	CYBA	Cyba	cytochrome b-245, alpha polypeptide [Source:RGD Symbol;Acc:620573]	3.470524364	0	375	116
ENSRNOT00000084628	ENSRNOP00000075037	RNASET2	Rnaset2	ribonuclease T2 [Source:RGD Symbol;Acc:1309918]	2.939909298	0	1960	715.76
ENSRNOT00000060648	ENSRNOP00000057381	HMHA1	Hmha1	histocompatibility (minor) HA-1 [Source:RGD Symbol;Acc:1308662]	3.179249864	0	613	207
ENSRNOT00000017687	ENSRNOP00000017687	PTAFR	Ptafr	platelet-activating factor receptor [Source:RGD Symbol;Acc:61897]	3.257165918	0	895	295
ENSRNOT00000077962	ENSRNOP00000071465	PIK3AP1	Pik3ap1	phosphoinositide-3-kinase adaptor protein 1 [Source:RGD Symbol;Acc:1307744]	3.823102366	0	495	139
ENSRNOT00000018634	ENSRNOP00000018634	FYB	Fyb	FYN binding protein [Source:RGD Symbol;Acc:1563421]	6.46995435	0	675	112
ENSRNOT00000019285	ENSRNOP00000019285	CTSH	Ctsh	cathepsin H [Source:RGD Symbol;Acc:2447]	2.697738423	0	2656	1057
ENSRNOT00000079947	ENSRNOP00000071714	PTPN6	Ptpn6	protein tyrosine phosphatase, non-receptor type 6 [Source:RGD Symbol;Acc:620660]	4.146642399	0	618	160
ENSRNOT00000088679	ENSRNOP00000071174	SLC11A1	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1 [Source:RGD Symbol;Acc:1601463]	5.057579897	0	245	52
ENSRNOT00000015668	ENSRNOP00000015668	DOCK8	Dock8	dedicator of cytokinesis 8 [Source:RGD Symbol;Acc:1561588]	4.103574343	0	1097	287
ENSRNOT00000021938	ENSRNOP00000021938	FCRL2	Fcrl2	Fc receptor-like 2 [Source:RGD Symbol;Acc:1306885]	9.538133047	0	773	87
ENSRNOT00000021915	ENSRNOP00000021915	CD4	Cd4	Cd4 molecule [Source:RGD Symbol;Acc:2306]	7.246563883	0	1242	184
ENSRNOT00000051338	ENSRNOP00000040111	INPP5D	Inpp5d	inositol polyphosphate-5-phosphatase D [Source:RGD Symbol;Acc:2914]	2.531078509	0	1233	523
ENSRNOT00000023017	ENSRNOP00000023017	B2M	B2m	beta-2 microglobulin [Source:RGD Symbol;Acc:2189]	2.710903519	0	17862	7074
ENSRNOT00000023412	ENSRNOP00000023412	PRL	Prl	prolactin [Source:RGD Symbol;Acc:3403]	78541.5471	0	758	0
ENSRNOT00000024018	ENSRNOP00000024018	UNC93B1	Unc93b1	unc-93 homolog B1 (C. elegans) [Source:RGD Symbol;Acc:1311984]	3.60906596	0	790	235
ENSRNOT00000024069	ENSRNOP00000024069	IRF8	Irf8	interferon regulatory factor 8 [Source:RGD Symbol;Acc:1312024]	4.721697329	0	928	211
ENSRNOT00000024344	ENSRNOP00000024344	CD53	Cd53	Cd53 molecule [Source:RGD Symbol;Acc:2310]	2.959360696	0	634	230
ENSRNOT00000024404	ENSRNOP00000024404	ITGAL	Itgal	integrin, alpha L [Source:RGD Symbol;Acc:631424]	11.25068588	0	807	77
ENSRNOT00000049357	ENSRNOP00000040411	CSF1R	Csf1r	colony stimulating factor 1 receptor [Source:RGD Symbol;Acc:2425]	2.843706562	0	8905	3362
ENSRNOT00000025019	ENSRNOP00000025019	CX3CR1	Cx3cr1	chemokine (C-X3-C motif) receptor 1 [Source:RGD Symbol;Acc:620137]	2.868843361	0	1948	729
ENSRNOT00000025354	ENSRNOP00000025354	CD74	Cd74	Cd74 molecule, major histocompatibility complex, class II invariant chain [Source:RGD Symbol;Acc:2313]	13.71884209	0	30016	2349
ENSRNOT00000050227	ENSRNOP00000049439	P2RY6	P2ry6	pyrimidinergic receptor P2Y, G-protein coupled, 6 [Source:RGD Symbol;Acc:620269]	4.283501804	0	403	101
ENSRNOT00000026225	ENSRNOP00000026225	IFI30	Ifi30	interferon gamma inducible protein 30 [Source:RGD Symbol;Acc:1310758]	3.909052134	0	619	170
ENSRNOT00000085336	ENSRNOP00000071107	ITGAM	Itgam	integrin, alpha M [Source:RGD Symbol;Acc:2926]	4.744498945	0	2435	551
ENSRNOT00000066834	ENSRNOP00000059092	CD37	Cd37	CD37 molecule [Source:RGD Symbol;Acc:62035]	4.475417754	0	296	71
ENSRNOT00000028137	ENSRNOP00000028137	SIPA1	Sipa1	signal-induced proliferation-associated 1 [Source:RGD Symbol;Acc:1303184]	2.922930797	0	1413	519
ENSRNOT00000028284	ENSRNOP00000028284	TYROBP	Tyrobp	Tyro protein tyrosine kinase binding protein [Source:RGD Symbol;Acc:1303081]	3.540165916	0	798	242
ENSRNOT00000028622	-	MPEG1	Mpeg1	macrophage expressed 1 [Source:RGD Symbol;Acc:69275]	2.978326532	0	2616	943
ENSRNOT00000028642	ENSRNOP00000028642	TNFAIP8L2	Tnfaip8l2	tumor necrosis factor, alpha-induced protein 8-like 2 [Source:RGD Symbol;Acc:1310519]	3.720904112	0	357	103
ENSRNOT00000028732	ENSRNOP00000028732	CTSS	Ctss	cathepsin S [Source:MGI Symbol;Acc:MGI:107341]	2.659717787	0	3446	1391
ENSRNOT00000028737	ENSRNOP00000028737	FERMT3	Fermt3	fermitin family member 3 [Source:RGD Symbol;Acc:1310168]	3.262410219	0	548.6	180.53
ENSRNOT00000050547	ENSRNOP00000042936	CD84	Cd84	CD84 molecule [Source:RGD Symbol;Acc:1564553]	3.979521504	0	430	116
ENSRNOT00000049891	ENSRNOP00000048649	TMEM176A	Tmem176a	transmembrane protein 176A [Source:RGD Symbol;Acc:1310725]	3.201149152	0	3253	1091
ENSRNOT00000029179	ENSRNOP00000036716	FCER1G	Fcer1g	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide [Source:RGD Symbol;Acc:2599]	3.569519643	0	2078	625
ENSRNOT00000051382	ENSRNOP00000049153	CARD11	Card11	caspase recruitment domain family, member 11 [Source:RGD Symbol;Acc:2323211]	4.804553551	0	546	122
ENSRNOT00000086223	ENSRNOP00000074744	FCGR3A	Fcgr3a	Fc fragment of IgG, low affinity IIIa, receptor [Source:RGD Symbol;Acc:1303067]	13.15546256	0	478	39
ENSRNOT00000039383	ENSRNOP00000034304	CXCL13	Cxcl13	chemokine (C-X-C motif) ligand 13 [Source:RGD Symbol;Acc:1564256]	109.7131071	0	512	5
ENSRNOT00000032926	ENSRNOP00000037160	CXCL16	Cxcl16	chemokine (C-X-C motif) ligand 16 [Source:RGD Symbol;Acc:1562928]	3.477952401	0	392	121
ENSRNOT00000029017	ENSRNOP00000032119	PLD4	Pld4	phospholipase D family, member 4 [Source:RGD Symbol;Acc:1598308]	3.851007892	0	2206	615
ENSRNOT00000044470	ENSRNOP00000048711	CYP2D3	Cyp2d3	cytochrome P450, family 2, subfamily d, polypeptide 3 [Source:RGD Symbol;Acc:2472]	6.405291722	0	237.92	39.87
ENSRNOT00000043811	ENSRNOP00000042082	WDFY4	Wdfy4	WDFY family member 4 [Source:RGD Symbol;Acc:1564142]	3.688087069	0	505	147
ENSRNOT00000049448	ENSRNOP00000043060	TSPAN4	Tspan4	tetraspanin 4 [Source:RGD Symbol;Acc:1305810]	13.38184349	0	104.57	8.38
ENSRNOT00000038660	-	RT1-A2	RT1-A2	RT1 class Ia, locus A2 [Source:RGD Symbol;Acc:1595923]	8.546924804	0	3625.93	455.46
ENSRNOT00000031704	ENSRNOP00000037902	C4B	C4b	complement component 4B (Chido blood group) [Source:RGD Symbol;Acc:1591983]	4.697760697	0	526.25	120.26
ENSRNOT00000061114	ENSRNOP00000057830	RT1-CE7	RT1-CE7	RT1 class I, locus CE7 [Source:RGD Symbol;Acc:1595786]	5.489615115	0	1081.74	211.55
ENSRNOT00000068683	ENSRNOP00000061437	GBP2	Gbp2	guanylate binding protein 2, interferon-inducible [Source:RGD Symbol;Acc:621810]	4.626914037	0	431	100
ENSRNOT00000048262	ENSRNOP00000039630	BIN2	Bin2	bridging integrator 2 [Source:RGD Symbol;Acc:1306789]	4.108935397	0	953	249
ENSRNOT00000084246	-	RT1-BB	RT1-Bb	RT1 class II, locus Bb [Source:RGD Symbol;Acc:3469]	9.260825916	0	3114	361
ENSRNOT00000077630	ENSRNOP00000074986	RT1-DA	RT1-Da	RT1 class II, locus Da [Source:RGD Symbol;Acc:1593283]	14.64819612	0	5444	399
ENSRNOT00000060327	ENSRNOP00000057075	RT1-DB1	RT1-Db1	RT1 class II, locus Db1 [Source:RGD Symbol;Acc:1593282]	11.37151218	0	3220	304
ENSRNOT00000026677	ENSRNOP00000026677	F10	F10	coagulation factor X [Source:RGD Symbol;Acc:61850]	12.72135661	0	166	14
ENSRNOT00000065753	ENSRNOP00000058936	NCKAP1L	Nckap1l	NCK associated protein 1 like [Source:RGD Symbol;Acc:1312032]	3.194672603	0	1467	493
ENSRNOT00000055279	ENSRNOP00000052154	GPR84	Gpr84	G protein-coupled receptor 84 [Source:RGD Symbol;Acc:1585277]	3.305642034	0	428	139
ENSRNOT00000076536	ENSRNOP00000068166	SLFN2	Slfn2	schlafen 2 [Source:RGD Symbol;Acc:1308645]	3.735010043	0	288.01	82.78
ENSRNOT00000047473	ENSRNOP00000050122	CD33	Cd33	CD33 molecule [Source:RGD Symbol;Acc:1596020]	3.953680113	0	302	82
ENSRNOT00000056918	ENSRNOP00000053756	CD68	Cd68	Cd68 molecule [Source:RGD Symbol;Acc:1305970]	14.3053617	0	693	52
ENSRNOT00000043736	ENSRNOP00000043009	RGD1309362	RGD1309362	similar to interferon-inducible GTPase [Source:RGD Symbol;Acc:1309362]	4.112260703	0	458.86	119.79
ENSRNOT00000080900	ENSRNOP00000071804	RT1-A1	RT1-A1	RT1 class Ia, locus A1 [Source:RGD Symbol;Acc:1595924]	3.586441359	0	2820.06	844.19
ENSRNOT00000047779	ENSRNOP00000041135	RT1-CE4	RT1-CE4	RT1 class I, locus CE4 [Source:RGD Symbol;Acc:1598234]	5.115615246	0	1396.71	293.12
ENSRNOT00000073526	ENSRNOP00000065591	FAM131A	Fam131a	family with sequence similarity 131, member A [Source:RGD Symbol;Acc:2322069]	41107.34017	0	396.72	0
ENSRNOT00000073104	ENSRNOP00000065334	FAM50A	Fam50a	family with sequence similarity 50, member A [Source:RGD Symbol;Acc:1560964]	6.800231941	0	179.75	28.37
ENSRNOT00000074268	ENSRNOP00000065946	SPATC1L	Spatc1l	spermatogenesis and centriole associated 1-like [Source:EntrezGene;Acc:499418]	7150.469327	0	69	0
ENSRNOT00000073926	ENSRNOP00000067220	ADGRE1	Adgre1	adhesion G protein-coupled receptor E1 [Source:RGD Symbol;Acc:1359214]	3.883190074	0	1020	282
ENSRNOT00000073643	ENSRNOP00000064819	LOC103693683	LOC103693683	low affinity immunoglobulin gamma Fc region receptor III [Source:RGD Symbol;Acc:9127992]	3.032664552	0	659.93	233.62
ENSRNOT00000074352	ENSRNOP00000067366	RGD1566307	RGD1566307	similar to PIRB1 [Source:RGD Symbol;Acc:1566307]	30.52161585	0	114	4
ENSRNOT00000075494	ENSRNOP00000066934	C3	C3	complement component 3 [Source:RGD Symbol;Acc:2232]	9.577294235	0	15174	1701
ENSRNOT00000025826	ENSRNOP00000025826	PNPLA2	Pnpla2	patatin-like phospholipase domain containing 2 [Source:RGD Symbol;Acc:1309044]	17499.58522	0	168.88	0
ENSRNOT00000071574	ENSRNOP00000066388	LOC100911186	LOC100911186	enoyl-CoA hydratase, mitochondrial-like [Source:RGD Symbol;Acc:6494098]	4.189777697	0	464.7	119.07
ENSRNOT00000072377	ENSRNOP00000066721	C4A	C4a	complement component 4A (Rodgers blood group) [Source:RGD Symbol;Acc:620005]	8.88264999	0	563.01	68.04
ENSRNOT00000049540	ENSRNOP00000039605	RT1-CE16	RT1-CE16	RT1 class I, locus CE16 [Source:RGD Symbol;Acc:1359403]	3.641483243	0	879.72	259.36
ENSRNOT00000078382	-	RT1-DMA	RT1-DMa	RT1 class II, locus DMa [Source:RGD Symbol;Acc:735053]	5.223185005	0	179.22	36.83
ENSRNOT00000079111	-	LOC100909630	LOC100909630	class II histocompatibility antigen, M beta 1 chain-like [Source:RGD Symbol;Acc:6502739]	4.068958996	0	539.34	142.3
ENSRNOT00000072069	ENSRNOP00000066523	CTSZ	Ctsz	cathepsin Z [Source:RGD Symbol;Acc:708479]	4.408589187	0	1544	376
ENSRNOT00000087782	-	RT1-DMB	RT1-DMb	RT1 class II, locus DMb [Source:RGD Symbol;Acc:735096]	3.752337098	0	575.66	164.7
ENSRNOT00000060607	ENSRNOP00000057340	C2	C2	complement component 2 [Source:RGD Symbol;Acc:2231]	10.89681489	0	2499.34	246.24
ENSRNOT00000087838	ENSRNOP00000074067	AOAH	Aoah	acyloxyacyl hydrolase (neutrophil) [Source:RGD Symbol;Acc:1560514]	94.58226747	0	89	1
ENSRNOT00000078046	ENSRNOP00000074064	SLFN3	Slfn3	Protein Slfn3; Schlafen 3, isoform CRA_b; Schlafen-4  [Source:UniProtKB/TrEMBL;Acc:Q9TPX1]	7.393906623	0	304.05	44.14
ENSRNOT00000039305	ENSRNOP00000034890	ERMAP	Ermap	erythroblast membrane-associated protein [Source:RGD Symbol;Acc:1309996]	72.26752302	1.11E-16	68	1
ENSRNOT00000022359	ENSRNOP00000022359	LPCAT2	Lpcat2	lysophosphatidylcholine acyltransferase 2 [Source:RGD Symbol;Acc:2325051]	2.6522018	1.11E-16	751	304
ENSRNOT00000017749	ENSRNOP00000017749	CFH	Cfh	complement factor H [Source:RGD Symbol;Acc:620428]	2.330367203	1.11E-16	2214	1020
ENSRNOT00000073239	ENSRNOP00000064308	NLRC5	Nlrc5	NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]	5.335187533	1.11E-16	169	34
ENSRNOT00000007202	ENSRNOP00000007202	GNA15	Gna15	guanine nucleotide binding protein, alpha 15 [Source:RGD Symbol;Acc:619751]	3.306910782	2.22E-16	345	112
ENSRNOT00000010796	ENSRNOP00000010796	TBXAS1	Tbxas1	thromboxane A synthase 1, platelet [Source:RGD Symbol;Acc:3826]	3.920597905	2.22E-16	252	69
ENSRNOT00000018101	ENSRNOP00000018101	RASSF4	Rassf4	Ras association (RalGDS/AF-6) domain family member 4 [Source:RGD Symbol;Acc:1307785]	2.893494199	2.22E-16	504	187
ENSRNOT00000067217	ENSRNOP00000061991	CCDC88B	Ccdc88b	coiled-coil domain containing 88B [Source:RGD Symbol;Acc:1311475]	3.149111973	2.22E-16	396	135
ENSRNOT00000084429	ENSRNOP00000074046	UBA7	Uba7	ubiquitin-like modifier activating enzyme 7 [Source:RGD Symbol;Acc:1308323]	3.934660897	2.22E-16	254.15	69.34
ENSRNOT00000003326	ENSRNOP00000003326	HCLS1	Hcls1	hematopoietic cell specific Lyn substrate 1 [Source:RGD Symbol;Acc:1304754]	3.433199228	2.22E-16	323	101
ENSRNOT00000084569	ENSRNOP00000075463	POU2F2	Pou2f2	POU domain, class 2, transcription factor 2 [Source:MGI Symbol;Acc:MGI:101897]	2.685987922	2.22E-16	668	267
ENSRNOT00000058497	ENSRNOP00000055293	FCGR2B	Fcgr2b	Fc fragment of IgG, low affinity IIb, receptor [Source:RGD Symbol;Acc:631331]	2.661411453	4.44E-16	666.92	269.03
ENSRNOT00000029443	ENSRNOP00000034275	SLC15A3	Slc15a3	solute carrier family 15 (oligopeptide transporter), member 3 [Source:RGD Symbol;Acc:628663]	3.229754054	5.55E-16	355	118
ENSRNOT00000056937	ENSRNOP00000053775	FAM46A	Fam46a	family with sequence similarity 46, member A [Source:RGD Symbol;Acc:1311381]	3.893417655	6.66E-16	243	67
ENSRNOT00000019121	ENSRNOP00000019121	RAB32	Rab32	RAB32, member RAS oncogene family [Source:RGD Symbol;Acc:1559997]	6.745615619	7.77E-16	132	21
ENSRNOT00000007897	ENSRNOP00000007897	ABI3	Abi3	ABI family, member 3 [Source:RGD Symbol;Acc:1311794]	3.348168971	1.22E-15	315	101
ENSRNOT00000040472	ENSRNOP00000043881	GRN	Grn	granulin [Source:RGD Symbol;Acc:61983]	2.215194648	1.67E-15	3031	1469
ENSRNOT00000055963	ENSRNOP00000052816	SLFN13	Slfn13	schlafen family member 13 [Source:RGD Symbol;Acc:1359139]	2.780576125	1.78E-15	518	200
ENSRNOT00000018600	ENSRNOP00000018600	P2RY12	P2ry12	purinergic receptor P2Y, G-protein coupled, 12 [Source:RGD Symbol;Acc:621681]	2.525539679	2.22E-15	781	332
ENSRNOT00000012432	ENSRNOP00000012432	HCK	Hck	hemopoietic cell kinase [Source:RGD Symbol;Acc:2785]	3.864565041	2.55E-15	234	65
ENSRNOT00000037699	ENSRNOP00000030766	MAN2B1	Man2b1	mannosidase, alpha, class 2B, member 1 [Source:RGD Symbol;Acc:3039]	2.259055078	3.22E-15	1919	912
ENSRNOT00000015878	ENSRNOP00000015878	TIFAB	Tifab	TRAF-interacting protein with forkhead-associated domain, family member B [Source:RGD Symbol;Acc:1311681]	3.122253245	4.66E-15	349	120
ENSRNOT00000071067	-	MLXIPL	Mlxipl	MLX interacting protein-like [Source:RGD Symbol;Acc:620400]	2.535661807	5.44E-15	718	304
ENSRNOT00000056995	ENSRNOP00000053828	SP110	Sp110	SP110 nuclear body protein [Source:RGD Symbol;Acc:1310173]	3.583023882	6.33E-15	257	77
ENSRNOT00000085933	ENSRNOP00000069391	DLK1	Dlk1	delta-like 1 homolog (Drosophila) [Source:RGD Symbol;Acc:619931]	5.881398732	7.88E-15	137	25
ENSRNOT00000082047	ENSRNOP00000073470	PSMB8	Psmb8	proteasome (prosome, macropain) subunit, beta type, 8 [Source:RGD Symbol;Acc:3426]	3.663936307	8.10E-15	244.58	71.66
ENSRNOT00000012342	ENSRNOP00000012342	CNR2	Cnr2	cannabinoid receptor 2 (macrophage) [Source:RGD Symbol;Acc:619713]	5.165433689	9.44E-15	154	32
ENSRNOT00000028780	ENSRNOP00000028780	FCGR1A	Fcgr1a	Fc fragment of IgG, high affinity Ia, receptor (CD64) [Source:RGD Symbol;Acc:1309912]	5.165433689	9.44E-15	154	32
ENSRNOT00000077793	ENSRNOP00000069723	CLEC7A	Clec7a	C-type lectin domain family 7 member A transcript variant 1; Dectin-1; Protein Clec7a  [Source:UniProtKB/TrEMBL;Acc:B5BUZ1]	7.25888932	1.17E-14	115	17
